Password,Has Lowercase,Has Uppercase,Has Special Character,Length,Strength
jsd^&,TRUE,FALSE,TRUE,5,Weak
i~bzzb,TRUE,FALSE,TRUE,5,Weak
|+Z)kDTRYo:q{"(,TRUE,TRUE,TRUE,15,Strong
gwcNB[oS5!n%OPJ,TRUE,TRUE,TRUE,15,Strong
^vXjCCP6,TRUE,TRUE,TRUE,8,Strong
"W,@/m#r4={m",TRUE,TRUE,TRUE,11,Strong
p1{`GCY"7.~3Mie,TRUE,TRUE,TRUE,15,Strong
A><NafUmWA4F7,TRUE,TRUE,TRUE,13,Strong
Vzma0[^FV,TRUE,TRUE,TRUE,9,Strong
p3=x;>'=%<`^jx,TRUE,FALSE,TRUE,14,Medium
c?m|,TRUE,FALSE,TRUE,4,Weak
"""lf`g(U",TRUE,TRUE,TRUE,7,Medium
"U,m",TRUE,TRUE,TRUE,3,Weak
WsW2:k,TRUE,TRUE,TRUE,6,Medium
$@!,FALSE,FALSE,TRUE,3,Weak
&B?(ED;FOX~IM,FALSE,TRUE,TRUE,13,Medium
VBH2|,FALSE,TRUE,TRUE,5,Weak
/LKL/P$)P,FALSE,TRUE,TRUE,9,Medium
el\s@8i5$9aGt$,TRUE,TRUE,TRUE,14,Strong
<voV,TRUE,TRUE,TRUE,4,Weak
i2&{}>CKJYS{}KL(,TRUE,TRUE,TRUE,16,Strong
XG`r,TRUE,TRUE,TRUE,4,Weak
",g^@b~uf6#VQl"".{",TRUE,TRUE,TRUE,16,Strong
F.?Mu@7[85$[,TRUE,TRUE,TRUE,12,Strong
bg+/4K+Wv,TRUE,TRUE,TRUE,9,Strong
1RtZAD,TRUE,TRUE,FALSE,6,Medium
PuD6aflf;Q?n,TRUE,TRUE,TRUE,12,Strong
zMb2yKpg/vv4>-=+,TRUE,TRUE,TRUE,16,Strong
"j#8R,1y7",TRUE,TRUE,TRUE,8,Strong
)*?3yD%aRgga{.XZ,TRUE,TRUE,TRUE,16,Strong
?kPQ@{,TRUE,TRUE,TRUE,6,Medium
p75qyz:6ud\,TRUE,FALSE,TRUE,11,Medium
N(!vOn"zF@>e>e9,TRUE,TRUE,TRUE,15,Strong
"OmcV}*;:!dXh4,1",TRUE,TRUE,TRUE,15,Strong
}7f@Dfa1wC,TRUE,TRUE,TRUE,10,Strong
\rNo,TRUE,TRUE,TRUE,4,Weak
UUH(d)ih%pic_V(,TRUE,TRUE,TRUE,15,Strong
"!)\B,yMp.zWG4h>B",TRUE,TRUE,TRUE,16,Strong
W[`McE2?$apA<D,TRUE,TRUE,TRUE,14,Strong
